"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.target_frequency"	"Answer.target_position"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.familiarization_present_in_study"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2N5P8PJWKUDDRQSBZVU950BCX5SJ80"	"A2TQUCYSLJJV47"	"Approved"	"Mon Jan 13 10:44:37 PST 2014"	"Sun Jan 12 18:03:17 PST 2014"	"Sun Jan 12 18:04:37 PST 2014"	"Sun Jan 12 18:25:51 PST 2014"	""	""	""	""	"""friend"""	"""glasses"""	"0"	"""right"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob's decision"""	"""No"""	""""""	"""F"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"22CMT6YTWX4HMA8P7949FGICLVW1WU"	"ANSRS75DCIMQ3"	"Approved"	"Mon Jan 13 10:44:40 PST 2014"	"Sun Jan 12 18:03:58 PST 2014"	"Sun Jan 12 18:04:40 PST 2014"	"Sun Jan 12 18:25:51 PST 2014"	""	""	""	""	"""snowman"""	"""hat"""	"0"	"""left"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""foil"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob least favorite snowman"""	"""no"""	"""32"""	"""m"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2SMUU00OQKKANBOS4XTU8686H84WWN"	"A2SIKW18T2DYYW"	"Approved"	"Mon Jan 13 10:46:19 PST 2014"	"Sun Jan 12 18:05:04 PST 2014"	"Sun Jan 12 18:06:19 PST 2014"	"Sun Jan 12 18:25:52 PST 2014"	""	""	""	""	"""pizza"""	"""mushrooms"""	"0"	"""right"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob likes pizza"""	""""""	""""""	"""f"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2A7K0COK2JE150VKGECR26O5DO4SLB"	"A1B14CS9DW7008"	"Approved"	"Mon Jan 13 10:47:15 PST 2014"	"Sun Jan 12 18:06:10 PST 2014"	"Sun Jan 12 18:07:15 PST 2014"	"Sun Jan 12 18:25:52 PST 2014"	""	""	""	""	"""snowman"""	"""scarf"""	"0"	"""left"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""FALSE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""My interpretation to what Joe is saying"""	""""""	"""38"""	"""f"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2DI0JG5TYMNCFRH45K0SYSH34DOLHK"	"A2QED3ZRZRMZHO"	"Approved"	"Mon Jan 13 10:47:53 PST 2014"	"Sun Jan 12 18:06:47 PST 2014"	"Sun Jan 12 18:07:53 PST 2014"	"Sun Jan 12 18:25:52 PST 2014"	""	""	""	""	"""pizza"""	"""mushrooms"""	"0"	"""right"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Some guy who likes pizza"""	"""it was either bob or tim but i think bob"""	"""21"""	"""M"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2FJ98D8J3VE7FLYTJ33G9MCQBM2HX6"	"A1L8X5ST2TC1TX"	"Approved"	"Mon Jan 13 11:07:50 PST 2014"	"Sun Jan 12 18:27:09 PST 2014"	"Sun Jan 12 18:27:50 PST 2014"	"Sun Jan 12 18:41:29 PST 2014"	""	""	""	""	"""friend"""	"""glasses"""	"0"	"""middle"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob's least favorite friedn"""	"""Nope"""	"""27"""	"""m"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"277B0HFL42J14RB87CT7S0IMIWR0L2"	"A26EER9CTTCDJU"	"Approved"	"Mon Jan 13 11:08:17 PST 2014"	"Sun Jan 12 18:26:13 PST 2014"	"Sun Jan 12 18:28:17 PST 2014"	"Sun Jan 12 18:41:29 PST 2014"	""	""	""	""	"""snowman"""	"""mittens"""	"0"	"""left"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""If  you could figure out which snowman was Bob's favorite."""	"""Thanks!"""	"""40"""	"""F"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"28IS1CSTMOFXA6Y4EHSE4DN3MRWOR6"	"A1OMMCMGS2R0YK"	"Approved"	"Mon Jan 13 11:09:23 PST 2014"	"Sun Jan 12 18:28:23 PST 2014"	"Sun Jan 12 18:29:23 PST 2014"	"Sun Jan 12 18:41:29 PST 2014"	""	""	""	""	"""snowman"""	"""scarf"""	"0"	"""middle"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""A kid making snowmen"""	""""""	"""29"""	"""m"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2RGVR14IXKO2428HAHNACX34RONA97"	"A3JDKGAYNS037L"	"Approved"	"Mon Jan 13 11:11:54 PST 2014"	"Sun Jan 12 18:30:26 PST 2014"	"Sun Jan 12 18:31:54 PST 2014"	"Sun Jan 12 18:41:30 PST 2014"	""	""	""	""	"""friend"""	"""glasses"""	"0"	"""left"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Deciding who is the actual person he is talking about when both have glasses"""	""""""	"""23"""	"""f"""	"0"
"2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Jan 12 18:00:26 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Jan 19 18:00:26 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I7C6SK9RJ857SOZAMDAGPMQM4P4S5"	"2BTK274J79KQFZ78J9XU3FCJ7H7HFG"	"AC5LU9TF9CTK9"	"Approved"	"Mon Jan 13 11:12:04 PST 2014"	"Sun Jan 12 18:31:06 PST 2014"	"Sun Jan 12 18:32:04 PST 2014"	"Sun Jan 12 18:41:30 PST 2014"	""	""	""	""	"""boat"""	"""cabin"""	"0"	"""left"""	"-1"	"0"	"1"	"2"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""The survey was about what boat Bob didn't like."""	""""""	"""67"""	"""Female"""	"0"
