"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.target_frequency"	"Answer.target_position"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.familiarization_present_in_study"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2OFLVWJ5OPB0HOMZ43DWH7EVCPG3VO"	"A9Q0ZCP8UL2Y6"	"Approved"	"Thu Jan 16 06:36:59 PST 2014"	"Wed Jan 15 13:56:15 PST 2014"	"Wed Jan 15 13:56:59 PST 2014"	"Wed Jan 15 14:04:41 PST 2014"	""	""	""	""	"""friend"""	"""glasses"""	"0"	"""left"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob and his friends"""	""""""	"""26"""	"""F"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2T85TYMNCWYBN2L9OXJH311PRI4KOD"	"A2ISC82HUW9GQ"	"Approved"	"Thu Jan 16 06:37:55 PST 2014"	"Wed Jan 15 13:56:23 PST 2014"	"Wed Jan 15 13:57:55 PST 2014"	"Wed Jan 15 14:04:41 PST 2014"	""	""	""	""	"""boat"""	"""motor"""	"0"	"""left"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Which boat bob thought was most beautiful."""	""""""	"""23"""	"""m"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2D15SW6NG1FSMG4NFGPF7FZY2GEWIQ"	"A329PFJYHB6RA1"	"Approved"	"Thu Jan 16 06:39:49 PST 2014"	"Wed Jan 15 13:58:40 PST 2014"	"Wed Jan 15 13:59:49 PST 2014"	"Wed Jan 15 14:04:41 PST 2014"	""	""	""	""	"""boat"""	"""cabin"""	"0"	"""left"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""3"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""look up the bob boat """	"""nice"""	"""33"""	"""female"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"24DF395SW6NGK8Y3J3EJHYF7IU4FTS"	"A3US3R22I0W1QE"	"Approved"	"Thu Jan 16 06:39:56 PST 2014"	"Wed Jan 15 13:57:08 PST 2014"	"Wed Jan 15 13:59:56 PST 2014"	"Wed Jan 15 14:04:41 PST 2014"	""	""	""	""	"""boat"""	"""motor"""	"0"	"""middle"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""perception"""	""""""	"""62"""	"""female"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2R5M25L8I9NZFZNEVBFEAQWDW3JSI8"	"AXZFADY0SMLDM"	"Approved"	"Thu Jan 16 06:41:42 PST 2014"	"Wed Jan 15 14:01:06 PST 2014"	"Wed Jan 15 14:01:42 PST 2014"	"Wed Jan 15 14:04:51 PST 2014"	""	""	""	""	"""boat"""	"""cabin"""	"0"	"""middle"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Boats"""	""""""	"""30"""	"""f"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2RAT3HVWAVKIPVTJM7S78Z9FTCKFNT"	"A1LII69V58R8OF"	"Approved"	"Thu Jan 16 06:46:39 PST 2014"	"Wed Jan 15 14:05:44 PST 2014"	"Wed Jan 15 14:06:39 PST 2014"	"Wed Jan 15 14:39:21 PST 2014"	""	""	""	""	"""snowman"""	"""scarf"""	"0"	"""middle"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""determined what the speaker meant when it was not clear"""	""""""	"""30"""	"""m"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2REVHVKCJ0113VD4FC0KWW67BIJ68U"	"A6IFXOBCV436G"	"Approved"	"Thu Jan 16 06:49:05 PST 2014"	"Wed Jan 15 14:07:52 PST 2014"	"Wed Jan 15 14:09:05 PST 2014"	"Wed Jan 15 14:39:22 PST 2014"	""	""	""	""	"""friend"""	"""hat"""	"0"	"""left"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""to see which we wuold choose out of the three."""	"""quick and easy."""	"""25"""	"""f"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"220SV7WGKCCV4E9C68UMNAPW77NS2Y"	"ANZAWNUR30LGI"	"Approved"	"Thu Jan 16 06:50:10 PST 2014"	"Wed Jan 15 14:09:22 PST 2014"	"Wed Jan 15 14:10:10 PST 2014"	"Wed Jan 15 14:39:22 PST 2014"	""	""	""	""	"""boat"""	"""cabin"""	"0"	"""right"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob ren ting a boat."""	"""nope"""	"""20"""	"""m"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"27CNQY2RCJK6MS1EZMI0QUIGT4Y4TW"	"A3HUA4XLLAME4J"	"Approved"	"Thu Jan 16 06:51:18 PST 2014"	"Wed Jan 15 14:10:06 PST 2014"	"Wed Jan 15 14:11:18 PST 2014"	"Wed Jan 15 14:39:22 PST 2014"	""	""	""	""	"""friend"""	"""mustache"""	"0"	"""middle"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""What Bob is interested in."""	"""It was easier than I expected."""	""""""	"""m"""	"0"
"23WC1PC6SK9R21BOVNQENMACN911PK"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Jan 15 13:55:15 PST 2014"	"159"	"0"	"0"	"159"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Jan 22 13:55:15 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9R21BOVNQENMACN911PK"	"2QKNTL0XULRG6MHJZRDD35FVAILO2Y"	"A3RO17UKZ723P8"	"Approved"	"Thu Jan 16 06:52:42 PST 2014"	"Wed Jan 15 14:11:59 PST 2014"	"Wed Jan 15 14:12:42 PST 2014"	"Wed Jan 15 14:39:22 PST 2014"	""	""	""	""	"""sundae"""	"""whipped cream"""	"0"	"""right"""	"-1"	"0"	"1"	"3"	"0"	"0"	"""1"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""not sure"""	"""no"""	"""24"""	"""m"""	"0"
